"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5440207","ACT","141 E 12TH ST","APOPKA","32703","CLARKSVILLE","1,144","$37,000","3","1","0","1959","None","Single Family Home","$1,298","1","1","","","","$32.34","","","CHARLES RUTENBERG REALTY","Sara Nicholas","269503895","","","","O","Orlando Regional"
"1","S4825860","ACT","18568 12TH AVE","ORLANDO","32833","BITHLO","516","$63,900","1","1","0","1950","None","Single Family Home","$632","113","113","","","","$123.84","","","PR REAL ESTATE SERVICES","Veronica Ochoa","272502509","","","","S","Osceola"
"1","O5432626","ACT","352 W 17TH ST","APOPKA","32703","LAKE OPAL ESTATES","1,080","$84,900","3","2","0","1984","None","Single Family Home","$1,150","30","30","","","","$78.61","","","CENTURY 21 CARIOTI","Glemerson Martins","261212721","","","","O","Orlando Regional"
"1","O5434231","ACT","401 1ST ST","OCOEE","34761","HILLCREST HEIGHTS","1,762","$169,900","4","2","0","1980","None","Single Family Home","$1,061","25","25","","","","$96.42","","","SAND DOLLAR REALTY GROUP INC","Rani Kaur","261070833","","","","O","Orlando Regional"
"1","O5439929","ACT","606 20TH ST","ORLANDO","32805","WESTWOOD GARDENS","1,737","$59,000","3","1","1","1952","Private","Single Family Home","$820","2","2","","","","$33.97","","","REO WHOLESALE PROPERTIES LLC","Robbie Crager","261063689","","","","O","Orlando Regional"
"1","O5435891","ACT","1022 24TH ST","ORLANDO","32805","ANGEBILT ADD","888","$54,900","3","1","0","1958","None","Single Family Home","$1,429","20","20","","","","$61.82","","","LAKE MARY REALTY, INC","John Henthorn","261213103","","","","O","Orlando Regional"
"1","O5427907","ACT","1127 2ND ST","ORLANDO","32824","TAFT TOWN","1,532","$169,000","4","3","0","1945","None","Single Family Home","$801","30","30","","","","$110.31","","","MULTINATIONAL PROPERTIES LLC","Jose Notaro","261095099","","","","O","Orlando Regional"
"1","O5417514","ACT","522 W 2ND AVE","WINDERMERE","34786","WINDERMERE","5,399","$2,000,000","6","5","1","1969","None","Single Family Home","$24,584","106","106","","","","$370.44","","","VINTAGE REALTY GROUP LLC","Darrell Nunnelley","261009518","","","","O","Orlando Regional"
"1","O5436807","ACT","1345 38TH ST","ORLANDO","32839","ANGEBILT ADD","3,148","$189,999","5","4","0","1949","None","Single Family Home","$1,696","16","16","","","","$60.36","","","OLDE TOWN BROKERS INC","Claudia Centesimo","261209814","","","","O","Orlando Regional"
"1","O5432321","ACT","1426 38TH ST","ORLANDO","32839","ANGEBILT ADD 2 BLK 100 UNLOTTED PT","898","$50,000","2","1","0","1953","None","Single Family Home","$625","30","30","","","","$55.68","","","THE TITAN GROUP, INC.","Michael Fouts","261008883","","","","O","Orlando Regional"
"1","G4824766","ACT","104 E 3RD AVE","WINDERMERE","34786","WINDERMERE TOWN","3,246","$739,900","4","3","2","1990","Private","Single Family Home","$5,417","61","61","","","","$227.94","","","WATSON REALTY CORP","Colleen Taylor","260503463","","","","G","Lake and Sumter"
"1","O5433462","ACT","9975 3RD AVE","ORLANDO","32824","HUNTERS LAND","1,676","$225,000","3","2","0","1975","None","Single Family Home","$1,938","31","31","","","","$134.25","","","KINGS REALTY & PROPERTY MGMT.","Natalie Citarelli","261097889","","","","O","Orlando Regional"
